route,extra_fuel_cost_usd
Dubai → New York,321.86494252873564
New York → Dubai,305.033908045977
Doha → New York,287.5968965517241
Bangkok → London,286.80183908045973
Dubai → Sydney,281.53241379310344
Doha → Tokyo,261.9013793103448
Seoul → Dubai,244.20080459770116
Mumbai → London,241.03172413793106
Abu Dhabi → Chicago,237.47344827586204
Doha → Kuala Lumpur,223.33999999999997
Hong Kong → London,217.81379310344832
Dubai → Cape Town,216.37011494252872
Singapore → London,210.40367816091958
Dubai → Frankfurt,208.48011494252873
Muscat → London,177.6687356321839
Riyadh → London,176.73011494252873
Kuwait City → London,171.16172413793103
Doha → London,170.41298850574714
Frankfurt → Dubai,152.3541379310345
Paris → Dubai,148.62793103448274
Amsterdam → Dubai,145.8737931034483
Abu Dhabi → London,140.19632183908047
London → Dubai,139.86183908045976
Dubai → Singapore,134.88367816091954
Dubai → Bangkok,127.00287356321839
Addis Ababa → Dubai,126.98436781609195
Dubai → London,108.51689655172413
Bahrain → London,106.97241379310346
Dubai → Nairobi,105.25080459770115
Dubai → Islamabad,0.0
Dubai → Colombo,0.0
Dubai → Delhi,0.0
Cairo → Dubai,0.0
Dubai → Karachi,0.0
Istanbul → Dubai,0.0
Sharjah → Beirut,0.0
